distance,total_force
2068.11,-0.259934
2064.72,-0.244224
2061.33,-0.228354
2057.92,-0.212322
2054.5,-0.196127
2051.07,-0.179766
2047.63,-0.163237
2044.17,-0.146537
2040.7,-0.129664
2037.22,-0.112615
2033.73,-0.0953884
2030.22,-0.0779812
2026.7,-0.0603913
2023.17,-0.0426158
2019.63,-0.0246517
2016.07,-0.00649691
2012.5,0.0118516
2008.92,0.0303962
2005.33,0.0491402
2001.72,0.0680861
1998.1,0.0872369
1994.47,0.106596
1990.83,0.126165
1987.17,0.145949
1983.5,0.165949
1979.82,0.186169
1976.13,0.206613
1972.42,0.227283
1968.71,0.248182
1964.98,0.269315
1961.23,0.290684
1957.48,0.312293
1953.71,0.334144
1949.93,0.356243
1946.14,0.378592
1942.33,0.401195
1938.52,0.424056
1934.69,0.447179
1930.84,0.470567
1926.99,0.494224
1923.12,0.518154
1919.24,0.542361
1915.35,0.56685
1911.45,0.591624
1907.53,0.616688
1903.6,0.642046
1899.66,0.667702
1895.71,0.693661
1891.75,0.719927
1887.77,0.746504
1883.78,0.773398
1879.78,0.800614
1875.76,0.828155
1871.73,0.856027
1867.7,0.884235
1863.64,0.912782
1859.58,0.941677
1855.51,0.970921
1851.42,1.00052
1847.32,1.03049
1843.21,1.06082
1839.08,1.09152
1834.95,1.1226
1830.8,1.15407
1826.64,1.18592
1822.46,1.21817
1818.28,1.25082
1814.08,1.28388
1809.88,1.31736
1805.65,1.35125
1801.42,1.38557
1797.18,1.42033
1792.92,1.45552
1788.65,1.49116
1784.38,1.52725
1780.08,1.56381
1775.78,1.60083
1771.47,1.63833
1767.14,1.6763
1762.8,1.71477
1758.45,1.75373
1754.09,1.7932
1749.72,1.83318
1745.33,1.87368
1740.93,1.91471
1736.53,1.95627
1732.11,1.99838
1727.68,2.04104
1723.24,2.08426
1718.78,2.12805
1714.32,2.17242
1709.84,2.21738
1705.36,2.26293
1700.86,2.30909
1696.35,2.35587
1691.83,2.40327
1687.3,2.4513
1682.76,2.49998
1678.21,2.54931
1673.64,2.59931
1669.07,2.64998
1664.48,2.70134
1659.89,2.75339
1655.28,2.80614
1650.67,2.85962
1646.04,2.91382
