distance,acceleration_a,acceleration_b,tick_index,velocity_x,velocity_y,velocity_z
1977.44,0.0250879,0.000250879,6534,-6.80827,0,2.44714
1976.07,0.0251225,0.000251225,6535,-6.8041,0,2.47192
1974.71,0.0251572,0.000251572,6536,-6.79983,0,2.49671
1973.35,0.0251919,0.000251919,6537,-6.79546,0,2.52152
1971.99,0.0252267,0.000252267,6538,-6.791,0,2.54635
1970.63,0.0252615,0.000252615,6539,-6.78644,0,2.5712
1969.27,0.0252964,0.000252964,6540,-6.78178,0,2.59606
1967.91,0.0253313,0.000253313,6541,-6.77703,0,2.62094
1966.56,0.0253663,0.000253663,6542,-6.77217,0,2.64584
1965.2,0.0254013,0.000254013,6543,-6.76722,0,2.67075
1963.84,0.0254363,0.000254363,6544,-6.76217,0,2.69568
1962.49,0.0254714,0.000254714,6545,-6.75702,0,2.72063
1961.14,0.0255066,0.000255066,6546,-6.75177,0,2.74559
1959.79,0.0255418,0.000255418,6547,-6.74642,0,2.77056
1958.44,0.025577,0.00025577,6548,-6.74098,0,2.79555
1957.09,0.0256123,0.000256123,6549,-6.73543,0,2.82056
1955.74,0.0256476,0.000256476,6550,-6.72978,0,2.84557
1954.39,0.025683,0.00025683,6551,-6.72403,0,2.87061
1953.05,0.0257184,0.000257184,6552,-6.71817,0,2.89565
1951.7,0.0257539,0.000257539,6553,-6.71222,0,2.92071
1950.36,0.0257894,0.000257893,6554,-6.70616,0,2.94577
1949.02,0.0258249,0.000258249,6555,-6.70001,0,2.97085
1947.67,0.0258605,0.000258605,6556,-6.69375,0,2.99595
1946.34,0.0258961,0.000258961,6557,-6.68738,0,3.02105
1945,0.0259317,0.000259317,6558,-6.68092,0,3.04616
1943.66,0.0259674,0.000259674,6559,-6.67435,0,3.07128
1942.32,0.0260031,0.000260031,6560,-6.66767,0,3.09641
1940.99,0.0260389,0.000260389,6561,-6.66089,0,3.12156
1939.66,0.0260747,0.000260747,6562,-6.65401,0,3.14671
1938.33,0.0261105,0.000261105,6563,-6.64702,0,3.17186
1937,0.0261464,0.000261464,6564,-6.63993,0,3.19703
1935.67,0.0261823,0.000261823,6565,-6.63273,0,3.2222
1934.34,0.0262182,0.000262182,6566,-6.62543,0,3.24738
1933.01,0.0262542,0.000262542,6567,-6.61802,0,3.27257
1931.69,0.0262902,0.000262902,6568,-6.61051,0,3.29776
1930.37,0.0263263,0.000263263,6569,-6.60289,0,3.32296
1929.05,0.0263623,0.000263623,6570,-6.59516,0,3.34817
1927.73,0.0263984,0.000263984,6571,-6.58732,0,3.37338
1926.41,0.0264346,0.000264346,6572,-6.57938,0,3.39859
1925.09,0.0264707,0.000264707,6573,-6.57133,0,3.42381
1923.78,0.0265069,0.000265069,6574,-6.56317,0,3.44903
1922.47,0.0265431,0.000265431,6575,-6.5549,0,3.47425
1921.15,0.0265794,0.000265794,6576,-6.54653,0,3.49947
1919.84,0.0266156,0.000266156,6577,-6.53804,0,3.5247
1918.54,0.0266519,0.000266519,6578,-6.52945,0,3.54993
1917.23,0.0266883,0.000266883,6579,-6.52074,0,3.57516
1915.93,0.0267246,0.000267246,6580,-6.51193,0,3.60039
1914.62,0.026761,0.00026761,6581,-6.50301,0,3.62562
1913.32,0.0267974,0.000267974,6582,-6.49398,0,3.65085
1912.02,0.0268338,0.000268338,6583,-6.48483,0,3.67608
1910.73,0.0268702,0.000268702,6584,-6.47558,0,3.7013
1909.43,0.0269067,0.000269067,6585,-6.46622,0,3.72653
1908.14,0.0269432,0.000269432,6586,-6.45674,0,3.75175
1906.85,0.0269797,0.000269797,6587,-6.44715,0,3.77697
1905.56,0.0270162,0.000270162,6588,-6.43745,0,3.80218
1904.27,0.0270528,0.000270528,6589,-6.42764,0,3.82739
1902.99,0.0270893,0.000270893,6590,-6.41772,0,3.8526
1901.7,0.0271259,0.000271259,6591,-6.40768,0,3.8778
1900.42,0.0271625,0.000271625,6592,-6.39753,0,3.903
1899.14,0.0271991,0.000271991,6593,-6.38727,0,3.92818
1897.86,0.0272357,0.000272357,6594,-6.37689,0,3.95337
1896.59,0.0272723,0.000272723,6595,-6.36641,0,3.97854
1895.32,0.027309,0.00027309,6596,-6.3558,0,4.00371
1894.05,0.0273456,0.000273456,6597,-6.34509,0,4.02887
1892.78,0.0273823,0.000273823,6598,-6.33425,0,4.05401
1891.51,0.027419,0.00027419,6599,-6.32331,0,4.07915
1890.25,0.0274556,0.000274556,6600,-6.31225,0,4.10428
1888.99,0.0274923,0.000274923,6601,-6.30107,0,4.1294
1887.73,0.027529,0.00027529,6602,-6.28978,0,4.15451
1886.47,0.0275657,0.000275657,6603,-6.27838,0,4.1796
1885.21,0.0276025,0.000276025,6604,-6.26685,0,4.20469
1883.96,0.0276392,0.000276392,6605,-6.25522,0,4.22976
1882.71,0.0276759,0.000276759,6606,-6.24346,0,4.25481
1881.46,0.0277126,0.000277126,6607,-6.23159,0,4.27985
1880.22,0.0277494,0.000277494,6608,-6.21961,0,4.30488
1878.97,0.0277861,0.000277861,6609,-6.2075,0,4.32989
1877.73,0.0278228,0.000278228,6610,-6.19528,0,4.35489
1876.5,0.0278595,0.000278595,6611,-6.18295,0,4.37987
1875.26,0.0278963,0.000278963,6612,-6.17049,0,4.40483
1874.03,0.027933,0.00027933,6613,-6.15792,0,4.42977
1872.8,0.0279697,0.000279697,6614,-6.14523,0,4.4547
1871.57,0.0280064,0.000280064,6615,-6.13242,0,4.47961
1870.34,0.0280431,0.000280431,6616,-6.1195,0,4.50449
1869.12,0.0280798,0.000280798,6617,-6.10645,0,4.52936
1867.9,0.0281165,0.000281165,6618,-6.09329,0,4.5542
1866.68,0.0281532,0.000281532,6619,-6.08001,0,4.57903
1865.47,0.0281899,0.000281899,6620,-6.06661,0,4.60383
1864.26,0.0282266,0.000282266,6621,-6.05309,0,4.62861
1863.05,0.0282632,0.000282632,6622,-6.03946,0,4.65336
1861.84,0.0282998,0.000282999,6623,-6.0257,0,4.6781
1860.64,0.0283365,0.000283365,6624,-6.01182,0,4.7028
