distance,total_force
1923.42,3.34075
1922.11,3.35186
1920.8,3.36294
1919.49,3.37401
1918.18,3.38505
1916.88,3.39607
1915.57,3.40708
1914.27,3.41806
1912.97,3.42901
1911.67,3.43994
1910.38,3.45085
1909.08,3.46174
1907.79,3.4726
1906.5,3.48343
1905.21,3.49424
1903.92,3.50502
1902.64,3.51578
1901.36,3.5265
1900.08,3.5372
1898.8,3.54787
1897.52,3.5585
1896.25,3.56911
1894.97,3.57969
1893.7,3.59024
1892.44,3.60075
1891.17,3.61123
1889.91,3.62168
1888.64,3.63209
1887.39,3.64247
1886.13,3.65281
1884.87,3.66312
1883.62,3.67339
1882.37,3.68363
1881.13,3.69382
1879.88,3.70398
1878.64,3.7141
1877.4,3.72418
1876.16,3.73422
1874.93,3.74421
1873.69,3.75417
1872.46,3.76408
1871.24,3.77395
1870.01,3.78378
1868.79,3.79356
1867.57,3.80329
1866.35,3.81298
1865.14,3.82263
1863.93,3.83222
1862.72,3.84177
1861.51,3.85127
1860.31,3.86072
1859.11,3.87012
1857.91,3.87947
1856.72,3.88877
1855.53,3.89802
1854.34,3.90721
1853.15,3.91635
1851.97,3.92543
1850.79,3.93446
1849.61,3.94343
1848.44,3.95235
1847.27,3.96121
1846.1,3.97001
1844.94,3.97876
1843.78,3.98744
1842.62,3.99606
1841.46,4.00462
1840.31,4.01312
1839.16,4.02156
1838.02,4.02993
1836.88,4.03824
1835.74,4.04649
1834.6,4.05467
1833.47,4.06278
1832.34,4.07083
1831.22,4.07881
1830.09,4.08671
1828.98,4.09456
1827.86,4.10232
1826.75,4.11002
1825.64,4.11765
1824.54,4.1252
1823.44,4.13269
1822.34,4.14009
1821.25,4.14742
1820.16,4.15468
1819.07,4.16186
1817.99,4.16896
1816.91,4.17599
1815.83,4.18294
1814.76,4.1898
1813.69,4.19659
1812.63,4.20329
1811.57,4.20992
1810.51,4.21646
1809.46,4.22292
1808.41,4.22929
1807.37,4.23558
1806.33,4.24178
1805.29,4.2479
1804.26,4.25393
1803.23,4.25987
1802.21,4.26572
1801.19,4.27148
1800.17,4.27715
1799.16,4.28273
1798.15,4.28822
1797.15,4.29362
1796.15,4.29892
1795.15,4.30413
1794.16,4.30924
1793.18,4.31425
1792.19,4.31918
1791.22,4.324
1790.24,4.32872
1789.27,4.33335
1788.31,4.33787
1787.35,4.3423
1786.39,4.34662
1785.44,4.35085
1784.49,4.35497
1783.55,4.35898
1782.61,4.3629
1781.68,4.36671
1780.75,4.37041
1779.83,4.374
1778.91,4.37749
1777.99,4.38087
1777.08,4.38414
1776.18,4.38731
1775.28,4.39036
1774.38,4.3933
1773.49,4.39613
1772.6,4.39885
1771.72,4.40146
1770.84,4.40395
1769.97,4.40633
1769.1,4.4086
1768.24,4.41075
1767.38,4.41278
1766.53,4.4147
1765.68,4.41649
1764.84,4.41817
1764,4.41974
1763.17,4.42118
1762.35,4.4225
1761.52,4.4237
1760.71,4.42478
1759.89,4.42574
1759.09,4.42658
1758.29,4.42729
1757.49,4.42788
1756.7,4.42835
1755.91,4.42869
1755.13,4.4289
1754.36,4.42899
1753.59,4.42895
1752.82,4.42879
1752.06,4.4285
1751.31,4.42808
1750.56,4.42753
1749.82,4.42685
1749.08,4.42604
1748.35,4.4251
1747.62,4.42403
1746.9,4.42283
1746.18,4.4215
1745.47,4.42004
1744.77,4.41844
1744.07,4.41671
1743.37,4.41485
1742.69,4.41285
1742,4.41072
1741.33,4.40845
1740.66,4.40605
1739.99,4.40351
1739.33,4.40084
1738.68,4.39803
1738.03,4.39509
1737.39,4.392
1736.75,4.38878
1736.12,4.38543
1735.49,4.38193
1734.87,4.3783
1734.26,4.37452
1733.65,4.37061
1733.05,4.36656
1732.46,4.36237
1731.87,4.35804
1731.28,4.35357
1730.71,4.34896
1730.13,4.34421
1729.57,4.33932
1729.01,4.33429
1728.45,4.32911
1727.91,4.3238
1727.36,4.31835
1726.83,4.31275
1726.3,4.30701
1725.78,4.30113
1725.26,4.29511
1724.75,4.28895
1724.24,4.28264
1723.74,4.27619
1723.25,4.2696
1722.76,4.26287
1722.28,4.256
1721.81,4.24898
1721.34,4.24182
1720.88,4.23452
1720.43,4.22708
1719.98,4.21949
1719.53,4.21176
1719.1,4.20389
1718.67,4.19588
1718.24,4.18773
1717.83,4.17943
1717.41,4.171
1717.01,4.16242
1716.61,4.1537
1716.22,4.14484
1715.83,4.13584
1715.46,4.12669
1715.08,4.11741
1714.72,4.10798
1714.36,4.09842
1714,4.08871
1713.66,4.07887
1713.32,4.06888
1712.98,4.05876
1712.66,4.0485
1712.34,4.0381
1712.02,4.02756
1711.71,4.01688
1711.41,4.00606
1711.12,3.99511
1710.83,3.98402
1710.55,3.97279
1710.27,3.96143
1710.01,3.94993
1709.75,3.9383
1709.49,3.92653
1709.24,3.91463
1709,3.90259
1708.77,3.89042
1708.54,3.87812
1708.32,3.86568
