distance,total_force
2298.29,2.58036
2297.15,2.58161
2296,2.58285
2294.84,2.58407
2293.69,2.58527
2292.53,2.58647
2291.37,2.58765
2290.21,2.58881
2289.05,2.58996
2287.88,2.59109
2286.71,2.59221
2285.55,2.59331
2284.37,2.5944
2283.2,2.59547
2282.03,2.59652
2280.85,2.59756
2279.67,2.59859
2278.49,2.5996
2277.3,2.60059
2276.12,2.60157
2274.93,2.60252
2273.74,2.60347
2272.55,2.60439
2271.36,2.6053
2270.16,2.6062
2268.97,2.60707
2267.77,2.60793
2266.57,2.60877
2265.37,2.6096
2264.16,2.6104
2262.96,2.61119
2261.75,2.61196
2260.54,2.61272
2259.33,2.61345
2258.11,2.61417
2256.9,2.61487
2255.68,2.61555
2254.46,2.61621
2253.24,2.61685
2252.02,2.61748
2250.79,2.61808
2249.56,2.61867
2248.34,2.61923
2247.11,2.61978
2245.87,2.62031
2244.64,2.62082
2243.41,2.6213
2242.17,2.62177
2240.93,2.62222
2239.69,2.62265
2238.45,2.62305
2237.2,2.62344
2235.96,2.6238
2234.71,2.62415
2233.46,2.62447
2232.21,2.62477
2230.96,2.62505
2229.7,2.62531
2228.45,2.62555
2227.19,2.62576
2225.93,2.62596
2224.67,2.62613
2223.41,2.62628
2222.14,2.6264
2220.88,2.62651
2219.61,2.62659
2218.34,2.62664
2217.07,2.62668
2215.8,2.62669
2214.52,2.62667
2213.25,2.62664
2211.97,2.62658
2210.69,2.62649
2209.41,2.62638
2208.13,2.62625
2206.85,2.62609
2205.57,2.62591
2204.28,2.6257
2202.99,2.62547
2201.7,2.62521
2200.41,2.62493
2199.12,2.62462
2197.83,2.62429
2196.53,2.62393
2195.24,2.62354
2193.94,2.62313
2192.64,2.62269
2191.34,2.62222
2190.04,2.62173
2188.74,2.62121
2187.43,2.62066
2186.13,2.62008
2184.82,2.61948
2183.51,2.61885
2182.2,2.61819
2180.89,2.6175
2179.58,2.61678
2178.26,2.61604
2176.95,2.61527
2175.63,2.61446
2174.31,2.61363
2172.99,2.61277
2171.67,2.61188
2170.35,2.61096
2169.03,2.61001
2167.71,2.60902
2166.38,2.60801
2165.06,2.60697
2163.73,2.6059
2162.4,2.60479
2161.07,2.60366
2159.74,2.60249
2158.41,2.60129
2157.07,2.60006
2155.74,2.59879
2154.4,2.5975
2153.07,2.59617
2151.73,2.59481
2150.39,2.59341
2149.05,2.59198
2147.71,2.59052
2146.37,2.58903
2145.03,2.5875
2143.68,2.58593
2142.34,2.58434
2140.99,2.5827
2139.64,2.58104
2138.3,2.57934
2136.95,2.5776
2135.6,2.57582
2134.25,2.57402
2132.89,2.57217
2131.54,2.57029
2130.19,2.56837
2128.83,2.56642
2127.48,2.56443
2126.12,2.5624
2124.77,2.56033
2123.41,2.55823
2122.05,2.55609
2120.69,2.55391
2119.33,2.55169
2117.97,2.54943
2116.61,2.54714
2115.24,2.5448
2113.88,2.54243
2112.52,2.54001
2111.15,2.53756
2109.79,2.53507
2108.42,2.53253
2107.05,2.52996
2105.69,2.52734
2104.32,2.52469
2102.95,2.52199
2101.58,2.51925
2100.21,2.51647
2098.84,2.51364
2097.47,2.51078
2096.09,2.50787
2094.72,2.50491
2093.35,2.50192
2091.98,2.49888
2090.6,2.4958
2089.23,2.49267
2087.85,2.4895
2086.48,2.48629
2085.1,2.48303
2083.72,2.47973
2082.35,2.47638
2080.97,2.47298
2079.59,2.46954
2078.21,2.46605
2076.83,2.46252
2075.46,2.45894
2074.08,2.45531
2072.7,2.45164
2071.32,2.44792
2069.94,2.44415
2068.56,2.44033
2067.17,2.43647
2065.79,2.43255
2064.41,2.42859
2063.03,2.42458
2061.65,2.42052
2060.27,2.41641
2058.88,2.41225
2057.5,2.40804
2056.12,2.40378
2054.74,2.39946
2053.35,2.3951
2051.97,2.39069
2050.59,2.38622
2049.21,2.3817
2047.82,2.37713
2046.44,2.37251
2045.06,2.36784
2043.67,2.36311
2042.29,2.35833
2040.91,2.35685
2039.52,2.36809
2038.14,2.37935
2036.76,2.39061
2035.37,2.40188
