distance,acceleration_a,acceleration_b,tick_index
2099.53,0.0222549,0.000222549,7260
2100.9,0.0222259,0.000222259,7261
2102.27,0.0221969,0.000221969,7262
2103.64,0.022168,0.00022168,7263
2105.01,0.0221392,0.000221392,7264
2106.37,0.0221105,0.000221105,7265
2107.74,0.0220818,0.000220818,7266
2109.11,0.0220532,0.000220532,7267
2110.47,0.0220247,0.000220247,7268
2111.84,0.0219962,0.000219962,7269
2113.2,0.0219678,0.000219678,7270
2114.57,0.0219395,0.000219395,7271
2115.93,0.0219112,0.000219112,7272
2117.29,0.021883,0.00021883,7273
2118.65,0.0218549,0.000218549,7274
2120.01,0.0218269,0.000218269,7275
2121.37,0.0217989,0.000217989,7276
2122.73,0.021771,0.00021771,7277
2124.09,0.0217432,0.000217432,7278
2125.45,0.0217154,0.000217154,7279
2126.8,0.0216877,0.000216877,7280
2128.16,0.0216601,0.000216601,7281
2129.52,0.0216325,0.000216325,7282
2130.87,0.0216051,0.000216051,7283
2132.22,0.0215776,0.000215776,7284
2133.57,0.0215503,0.000215503,7285
2134.93,0.021523,0.00021523,7286
2136.28,0.0214958,0.000214958,7287
2137.63,0.0214687,0.000214687,7288
2138.97,0.0214417,0.000214417,7289
2140.32,0.0214147,0.000214147,7290
2141.67,0.0213877,0.000213877,7291
2143.01,0.0213609,0.000213609,7292
2144.36,0.0213341,0.000213341,7293
2145.7,0.0213074,0.000213074,7294
2147.04,0.0212808,0.000212808,7295
2148.38,0.0212542,0.000212542,7296
2149.72,0.0212277,0.000212277,7297
2151.06,0.0212013,0.000212013,7298
2152.4,0.0211749,0.000211749,7299
2153.74,0.0211487,0.000211487,7300
2155.08,0.0211224,0.000211224,7301
2156.41,0.0210963,0.000210963,7302
2157.74,0.0210702,0.000210702,7303
2159.08,0.0210442,0.000210442,7304
2160.41,0.0210183,0.000210183,7305
2161.74,0.0209924,0.000209924,7306
2163.07,0.0209666,0.000209666,7307
2164.4,0.0209409,0.000209409,7308
2165.72,0.0209153,0.000209153,7309
2167.05,0.0208897,0.000208897,7310
2168.37,0.0208642,0.000208642,7311
2169.7,0.0208387,0.000208387,7312
2171.02,0.0208134,0.000208134,7313
2172.34,0.0207881,0.000207881,7314
2173.66,0.0207628,0.000207628,7315
2174.98,0.0207377,0.000207377,7316
2176.29,0.0207126,0.000207126,7317
2177.61,0.0206876,0.000206876,7318
2178.92,0.0206626,0.000206626,7319
2180.24,0.0206377,0.000206377,7320
2181.55,0.0206129,0.000206129,7321
2182.86,0.0205882,0.000205882,7322
2184.17,0.0205635,0.000205635,7323
2185.48,0.0205389,0.000205389,7324
2186.78,0.0205144,0.000205144,7325
2188.09,0.0204899,0.000204899,7326
2189.39,0.0204655,0.000204655,7327
2190.69,0.0204412,0.000204412,7328
2192,0.0204169,0.000204169,7329
2193.29,0.0203927,0.000203927,7330
2194.59,0.0203686,0.000203686,7331
2195.89,0.0203445,0.000203445,7332
2197.18,0.0203206,0.000203206,7333
2198.48,0.0202967,0.000202967,7334
2199.77,0.0202728,0.000202728,7335
2201.06,0.020249,0.00020249,7336
2202.35,0.0202253,0.000202253,7337
2203.64,0.0202017,0.000202017,7338
2204.93,0.0201781,0.000201781,7339
2206.21,0.0201546,0.000201546,7340
2207.5,0.0201312,0.000201312,7341
2208.78,0.0201078,0.000201078,7342
2210.06,0.0200845,0.000200845,7343
2211.34,0.0200613,0.000200613,7344
2212.61,0.0200381,0.000200381,7345
2213.89,0.0200151,0.000200151,7346
2215.17,0.019992,0.00019992,7347
2216.44,0.0199691,0.000199691,7348
2217.71,0.0199462,0.000199462,7349
2218.98,0.0199234,0.000199234,7350
2220.25,0.0199006,0.000199006,7351
2221.51,0.0198779,0.000198779,7352
2222.78,0.0198553,0.000198553,7353
2224.04,0.0198328,0.000198328,7354
2225.3,0.0198103,0.000198103,7355
2226.56,0.0197879,0.000197879,7356
2227.82,0.0197655,0.000197655,7357
2229.08,0.0197432,0.000197432,7358
2230.33,0.019721,0.00019721,7359
2231.59,0.0196989,0.000196989,7360
2232.84,0.0196768,0.000196768,7361
2234.09,0.0196548,0.000196548,7362
2235.34,0.0196328,0.000196328,7363
2236.58,0.019611,0.00019611,7364
2237.83,0.0195892,0.000195892,7365
2239.07,0.0195674,0.000195674,7366
2240.31,0.0195457,0.000195457,7367
2241.55,0.0195241,0.000195241,7368
2242.79,0.0195026,0.000195026,7369
2244.03,0.0194811,0.000194811,7370
2245.26,0.0194597,0.000194597,7371
2246.49,0.0194383,0.000194383,7372
2247.72,0.019417,0.00019417,7373
2248.95,0.0193958,0.000193958,7374
2250.18,0.0193747,0.000193747,7375
2251.41,0.0193536,0.000193536,7376
2252.63,0.0193325,0.000193325,7377
2253.85,0.0193116,0.000193116,7378
2255.07,0.0192907,0.000192907,7379
2256.29,0.0192699,0.000192699,7380
2257.51,0.0192491,0.000192491,7381
2258.72,0.0192284,0.000192284,7382
2259.93,0.0192078,0.000192078,7383
