distance,acceleration_a,acceleration_b,tick_index,velocity_x,velocity_y,velocity_z
3115.68,0.0299961,0.000101057,11225,4.90683,0.71169,1.80256
3118.33,0.029945,0.000100885,11226,4.90251,0.706075,1.77347
3120.96,0.0298945,0.000100714,11227,4.89815,0.700468,1.74443
3123.57,0.0298446,0.000100546,11228,4.89375,0.694868,1.71544
3126.16,0.0297952,0.00010038,11229,4.88932,0.689275,1.68652
3128.72,0.0297464,0.000100215,11230,4.88485,0.683689,1.65764
3131.27,0.0296981,0.000100053,11231,4.88035,0.678111,1.62882
3133.78,0.0296504,9.98921e-05,11232,4.87581,0.672539,1.60006
3136.28,0.0296033,9.97332e-05,11233,4.87123,0.666974,1.57134
3138.75,0.0295567,9.95762e-05,11234,4.86662,0.661415,1.54268
3141.2,0.0295106,9.9421e-05,11235,4.86198,0.655863,1.51407
3143.63,0.029465,9.92675e-05,11236,4.85729,0.650318,1.48552
3146.03,0.02942,9.91159e-05,11237,4.85257,0.644779,1.45701
3148.41,0.0293756,9.89661e-05,11238,4.84782,0.639247,1.42856
3150.77,0.0293316,9.8818e-05,11239,4.84303,0.633721,1.40015
3153.1,0.0292882,9.86717e-05,11240,4.83821,0.628201,1.37179
3155.42,0.0292452,9.85271e-05,11241,4.83335,0.622687,1.34349
3157.71,0.0292028,9.83842e-05,11242,4.82846,0.61718,1.31523
3159.97,0.029161,9.82431e-05,11243,4.82353,0.611678,1.28702
3162.22,0.0291196,9.81036e-05,11244,4.81857,0.606183,1.25886
3164.44,0.0290787,9.79659e-05,11245,4.81358,0.600693,1.23074
3166.64,0.0290383,9.78298e-05,11246,4.80854,0.595209,1.20267
3168.82,0.0289984,9.76955e-05,11247,4.80348,0.589731,1.17465
3170.97,0.028959,9.75627e-05,11248,4.79838,0.584258,1.14667
3173.11,0.0289201,9.74316e-05,11249,4.79325,0.578791,1.11874
3175.22,0.0288817,9.73022e-05,11250,4.78808,0.57333,1.09086
3177.3,0.0288437,9.71744e-05,11251,4.78288,0.567874,1.06302
3179.37,0.0288063,9.70482e-05,11252,4.77765,0.562423,1.03522
3181.41,0.0287693,9.69236e-05,11253,4.77238,0.556977,1.00746
3183.43,0.0287328,9.68006e-05,11254,4.76708,0.551537,0.979754
3185.43,0.0286968,9.66792e-05,11255,4.76174,0.546102,0.952086
3187.4,0.0286612,9.65594e-05,11256,4.75637,0.540672,0.924461
3189.36,0.0286261,9.64411e-05,11257,4.75097,0.535247,0.896878
3191.29,0.0285915,9.63245e-05,11258,4.74553,0.529826,0.869336
3193.2,0.0285573,9.62093e-05,11259,4.74006,0.524411,0.841835
3195.09,0.0285236,9.60957e-05,11260,4.73456,0.519,0.814376
3196.95,0.0284903,9.59836e-05,11261,4.72903,0.513595,0.786956
3198.79,0.0284575,9.58731e-05,11262,4.72346,0.508193,0.759576
3200.61,0.0284251,9.57641e-05,11263,4.71786,0.502797,0.732236
3202.41,0.0283932,9.56565e-05,11264,4.71222,0.497405,0.704935
3204.19,0.0283617,9.55505e-05,11265,4.70655,0.492017,0.677673
3205.94,0.0283307,9.5446e-05,11266,4.70085,0.486633,0.650448
3207.67,0.0283001,9.53429e-05,11267,4.69512,0.481254,0.623262
3209.38,0.02827,9.52413e-05,11268,4.68935,0.47588,0.596113
3211.07,0.0282402,9.51412e-05,11269,4.68356,0.470509,0.569002
3212.74,0.028211,9.50426e-05,11270,4.67772,0.465142,0.541927
3214.38,0.0281821,9.49454e-05,11271,4.67186,0.45978,0.514888
3216.01,0.0281537,9.48496e-05,11272,4.66596,0.454421,0.487885
3217.61,0.0281257,9.47553e-05,11273,4.66004,0.449066,0.460918
3219.18,0.0280981,9.46624e-05,11274,4.65407,0.443715,0.433986
3220.74,0.028071,9.45709e-05,11275,4.64808,0.438368,0.407089
3222.28,0.0280442,9.44808e-05,11276,4.64205,0.433025,0.380226
3223.79,0.0280179,9.43922e-05,11277,4.63599,0.427685,0.353398
3225.28,0.027992,9.43049e-05,11278,4.6299,0.422349,0.326603
3226.75,0.0279665,9.42191e-05,11279,4.62378,0.417016,0.299841
3228.2,0.0279415,9.41346e-05,11280,4.61762,0.411687,0.273112
3229.62,0.0279168,9.40515e-05,11281,4.61143,0.406361,0.246416
3231.02,0.0278925,9.39698e-05,11282,4.60521,0.401038,0.219752
3232.41,0.0278687,9.38895e-05,11283,4.59896,0.395719,0.19312
3233.77,0.0278453,9.38105e-05,11284,4.59268,0.390403,0.166519
3235.11,0.0278222,9.37329e-05,11285,4.58636,0.38509,0.13995
3236.42,0.0277996,9.36566e-05,11286,4.58001,0.37978,0.113411
3237.72,0.0277773,9.35817e-05,11287,4.57363,0.374473,0.0869029
3238.99,0.0277555,9.35081e-05,11288,4.56721,0.369169,0.0604248
3240.24,0.0277341,9.34359e-05,11289,4.56077,0.363867,0.0339764
3241.47,0.027713,9.3365e-05,11290,4.55429,0.358569,0.00755735
3242.68,0.0276924,9.32954e-05,11291,4.54778,0.353273,-0.0188326
3243.87,0.0276721,9.32271e-05,11292,4.54123,0.34798,-0.0451939
3245.03,0.0276522,9.31602e-05,11293,4.53466,0.34269,-0.0715269
3246.18,0.0276327,9.30945e-05,11294,4.52805,0.337402,-0.0978318
3247.3,0.0276136,9.30302e-05,11295,4.52141,0.332117,-0.124109
3248.4,0.0275949,9.29672e-05,11296,4.51474,0.326834,-0.150359
3249.48,0.0275766,9.29054e-05,11297,4.50804,0.321553,-0.176582
3250.54,0.0275587,9.2845e-05,11298,4.5013,0.316275,-0.202778
3251.57,0.0275411,9.27858e-05,11299,4.49453,0.310999,-0.228948
3252.59,0.0275239,9.2728e-05,11300,4.48773,0.305725,-0.255092
3253.58,0.0275071,9.26714e-05,11301,4.4809,0.300453,-0.28121
3254.55,0.0274907,9.26161e-05,11302,4.47403,0.295184,-0.307303
3255.5,0.0274747,9.2562e-05,11303,4.46713,0.289916,-0.333371
3256.43,0.027459,9.25092e-05,11304,4.4602,0.284651,-0.359414
3257.34,0.0274437,9.24577e-05,11305,4.45324,0.279387,-0.385433
3258.22,0.0274288,9.24074e-05,11306,4.44625,0.274125,-0.411428
