distance,acceleration_a,acceleration_b,tick_index
7739.29,0.00163782,1.63782e-05,7100
7738.53,0.00163814,1.63814e-05,7101
7737.77,0.00163847,1.63847e-05,7102
7737.01,0.00163879,1.63879e-05,7103
7736.25,0.00163911,1.63911e-05,7104
7735.49,0.00163943,1.63943e-05,7105
7734.72,0.00163976,1.63976e-05,7106
7733.96,0.00164008,1.64008e-05,7107
7733.19,0.00164041,1.64041e-05,7108
7732.42,0.00164073,1.64073e-05,7109
7731.65,0.00164106,1.64106e-05,7110
7730.88,0.00164139,1.64139e-05,7111
7730.11,0.00164171,1.64171e-05,7112
7729.34,0.00164204,1.64204e-05,7113
7728.56,0.00164237,1.64237e-05,7114
7727.79,0.0016427,1.6427e-05,7115
7727.01,0.00164303,1.64303e-05,7116
7726.23,0.00164336,1.64336e-05,7117
7725.46,0.00164369,1.64369e-05,7118
7724.68,0.00164403,1.64403e-05,7119
7723.89,0.00164436,1.64436e-05,7120
7723.11,0.00164469,1.64469e-05,7121
7722.33,0.00164503,1.64503e-05,7122
7721.54,0.00164536,1.64536e-05,7123
7720.76,0.0016457,1.6457e-05,7124
7719.97,0.00164603,1.64603e-05,7125
7719.18,0.00164637,1.64637e-05,7126
7718.39,0.0016467,1.6467e-05,7127
7717.6,0.00164704,1.64704e-05,7128
7716.81,0.00164738,1.64738e-05,7129
7716.01,0.00164772,1.64772e-05,7130
7715.22,0.00164806,1.64806e-05,7131
7714.42,0.0016484,1.6484e-05,7132
7713.62,0.00164874,1.64874e-05,7133
7712.82,0.00164908,1.64908e-05,7134
7712.02,0.00164942,1.64942e-05,7135
7711.22,0.00164977,1.64977e-05,7136
7710.42,0.00165011,1.65011e-05,7137
7709.62,0.00165045,1.65045e-05,7138
7708.81,0.0016508,1.6508e-05,7139
7708.01,0.00165114,1.65114e-05,7140
7707.2,0.00165149,1.65149e-05,7141
7706.39,0.00165184,1.65184e-05,7142
7705.58,0.00165218,1.65218e-05,7143
7704.77,0.00165253,1.65253e-05,7144
7703.96,0.00165288,1.65288e-05,7145
7703.15,0.00165323,1.65323e-05,7146
7702.33,0.00165358,1.65358e-05,7147
7701.52,0.00165393,1.65393e-05,7148
7700.7,0.00165428,1.65428e-05,7149
7699.88,0.00165463,1.65463e-05,7150
7699.06,0.00165498,1.65498e-05,7151
7698.24,0.00165534,1.65534e-05,7152
7697.42,0.00165569,1.65569e-05,7153
7696.6,0.00165604,1.65604e-05,7154
7695.77,0.0016564,1.6564e-05,7155
7694.95,0.00165675,1.65675e-05,7156
7694.12,0.00165711,1.65711e-05,7157
7693.29,0.00165747,1.65747e-05,7158
7692.46,0.00165782,1.65782e-05,7159
7691.63,0.00165818,1.65818e-05,7160
7690.8,0.00165854,1.65854e-05,7161
7689.97,0.0016589,1.6589e-05,7162
7689.13,0.00165926,1.65926e-05,7163
7688.3,0.00165962,1.65962e-05,7164
7687.46,0.00165998,1.65998e-05,7165
